ORIG_FID,SIA2024BuildingType,BuildingAge,GlazingRatio
356,MFH,1962,21
357,MFH,2004,44
358,MFH,1925,43
359,MFH,1925,29
360,MFH,1981,24
361,MFH,1937,29
362,MFH,1922,32
363,MFH,2001,32
364,MFH,2003,16
365,MFH,1908,15
366,MFH,1998,23
367,MFH,2001,22
368,MFH,1962,44
369,MFH,1908,10
370,MFH,1952,46
371,MFH,1947,13
372,MFH,1905,27
373,MFH,1900,26
374,MFH,1916,19
375,MFH,1978,57
376,MFH,1946,41
377,MFH,1938,50
378,MFH,1927,35
379,MFH,1912,29
380,MFH,2010,24
381,MFH,1949,26
382,MFH,2009,46
383,MFH,1947,59
384,MFH,2008,20
385,MFH,1939,18
386,MFH,1949,56
387,MFH,1917,54
388,MFH,1969,19
389,MFH,1925,53
390,MFH,1901,16
391,MFH,1950,18
392,MFH,1972,29
393,MFH,1962,26
394,MFH,2015,36
395,MFH,1956,30
396,MFH,2018,45
397,MFH,2017,17
398,MFH,1948,18
399,MFH,1991,17
400,MFH,1978,31
401,MFH,1973,20
402,MFH,1905,37
403,MFH,2013,50
404,MFH,1947,45
405,MFH,1949,18
406,MFH,2006,11
407,MFH,1937,13
408,MFH,1975,48
409,MFH,2013,37
410,MFH,1995,11
411,MFH,1926,31
412,MFH,1937,12
413,MFH,1938,38
414,MFH,1993,22
415,MFH,1910,15
416,MFH,2013,46
417,MFH,1940,52
418,MFH,1988,19
419,MFH,1986,34
420,MFH,1973,30
421,MFH,2010,57
422,MFH,1949,18
423,MFH,1970,58
424,MFH,2002,43
425,MFH,1927,48
426,MFH,1939,25
427,MFH,1914,35
428,MFH,1909,59
429,MFH,1923,13
430,MFH,1912,44
431,MFH,2012,11
432,MFH,1952,42
433,MFH,1914,15
434,MFH,1942,26
435,MFH,1998,24
436,MFH,1912,11
437,MFH,1934,24
438,MFH,1905,30
439,MFH,1934,38
440,MFH,1955,15
441,MFH,2007,38
442,MFH,1936,41
443,MFH,1914,27
444,MFH,1925,34
445,MFH,1945,13
446,MFH,1944,58
447,MFH,1906,51
448,MFH,1966,49
449,MFH,1941,35
450,MFH,1957,49
451,MFH,1992,43
452,MFH,1998,26
453,MFH,2012,31
454,MFH,1937,30
455,MFH,1992,20
456,MFH,2012,53
457,MFH,1988,56
458,MFH,1973,56
459,MFH,1904,20
460,MFH,1973,56
461,MFH,1922,42
462,MFH,1921,21
463,MFH,1952,51
464,MFH,1908,30
465,MFH,1954,12
466,MFH,1989,39
467,MFH,1994,33
468,MFH,1907,33
469,MFH,1963,28
470,MFH,1960,49
471,MFH,1979,13
472,MFH,2007,46
473,MFH,1928,58
474,MFH,1933,41
475,MFH,1913,20
476,MFH,1922,29
477,MFH,1966,29
478,MFH,1951,12
479,MFH,1907,23
480,MFH,1957,35
481,MFH,1981,52
482,MFH,2001,14
483,MFH,2002,27
484,MFH,1990,13
485,MFH,1937,45
486,MFH,1912,20
487,MFH,1932,21
488,MFH,1958,58
489,MFH,1943,15
490,MFH,1955,36
491,MFH,1947,25
492,MFH,1969,10
493,MFH,1981,24
494,MFH,1924,26
495,MFH,2005,43
496,MFH,1923,44
497,MFH,1906,19
498,MFH,1973,15
499,MFH,1915,52
500,MFH,2003,58
501,MFH,2000,11
502,MFH,1924,32
503,MFH,1972,48
504,MFH,1966,18
505,MFH,1915,57
506,MFH,1941,14
507,MFH,1933,27
508,MFH,2002,16
509,MFH,1920,59
510,MFH,1983,44
511,MFH,1949,30
512,MFH,1966,24
513,MFH,2007,46
514,MFH,2017,30
515,MFH,1996,14
516,MFH,1982,47
517,MFH,1992,52
518,MFH,1996,32
519,MFH,1918,18
520,MFH,2004,43
521,MFH,2014,12
522,MFH,1996,41
523,MFH,2014,49
524,MFH,1937,27
525,MFH,1946,13
526,MFH,1957,20
527,MFH,1984,56
528,MFH,1937,31
529,MFH,1939,16
530,MFH,1911,16
531,MFH,1972,15
532,MFH,1989,13
533,MFH,1997,23
534,MFH,1952,15
535,MFH,1934,26
536,MFH,1918,12
537,MFH,1940,17
538,MFH,1902,23
539,MFH,1949,26
540,MFH,1991,35
541,MFH,2003,17
542,MFH,1929,58
543,MFH,1959,45
544,MFH,1930,43
545,MFH,1916,24
546,MFH,1980,43
547,MFH,2003,58
548,MFH,1988,32
549,MFH,1917,20
550,MFH,1962,29
551,MFH,2009,21
552,MFH,1935,19
553,MFH,1950,10
554,MFH,2000,47
555,MFH,1950,43
556,MFH,1929,13
557,MFH,1942,57
558,MFH,2011,47
559,MFH,1952,41
560,MFH,1972,35
561,MFH,1935,46
562,MFH,1934,18
563,MFH,1912,46
564,MFH,1997,59
565,MFH,2005,47
566,MFH,1951,58
567,MFH,1942,25
568,MFH,1926,27
569,MFH,1943,13
570,MFH,1976,35
571,MFH,1989,59
572,MFH,1945,39
573,MFH,1953,21
574,MFH,1965,24
575,MFH,1995,41
576,MFH,1975,22
577,MFH,1943,48
578,MFH,1906,33
579,MFH,2005,20
580,MFH,2015,24
581,MFH,1959,28
582,MFH,2005,32
583,MFH,1913,31
584,MFH,1965,35
585,MFH,1908,35
586,MFH,2006,39
587,MFH,1944,25
588,MFH,1944,44
589,MFH,1992,44
590,MFH,2001,48
591,MFH,2016,42
592,MFH,1967,20
593,MFH,1917,14
594,MFH,1945,59
595,MFH,1973,10
596,MFH,1991,29
597,MFH,1976,58
598,MFH,1933,34
599,MFH,1946,43
600,MFH,1940,12
601,MFH,1933,56
602,MFH,1972,21
603,MFH,2015,24
604,MFH,1942,54
605,MFH,2019,10
606,MFH,1986,44
607,MFH,1953,55
608,MFH,2004,56
609,MFH,1907,53
610,MFH,1939,23
611,MFH,1974,19
612,MFH,1923,56
613,MFH,1960,42
614,MFH,1986,58
615,MFH,1955,51
616,MFH,1962,11
617,MFH,1978,28
618,MFH,1957,24
619,MFH,1992,34
620,MFH,1978,10
621,MFH,1955,17
622,MFH,1976,33
623,MFH,2003,45
624,MFH,1934,47
625,MFH,1944,55
626,MFH,1952,19
627,MFH,1934,59
628,MFH,1970,57
629,MFH,1983,17
630,MFH,1929,21
631,MFH,1969,34
632,MFH,1955,45
633,MFH,1937,43
634,MFH,2003,49
635,MFH,1982,56
636,MFH,1911,49
637,MFH,2011,23
638,MFH,2006,22
639,MFH,1944,27
640,MFH,1938,20
641,MFH,1903,20
642,MFH,1929,16
643,MFH,1994,46
644,MFH,1921,55
645,MFH,1902,28
646,MFH,1970,25
647,MFH,1995,54
648,MFH,1934,59
649,MFH,1976,43
650,MFH,1969,41
651,MFH,1921,14
652,MFH,1995,48
653,MFH,1919,35
654,MFH,1942,19
655,MFH,1976,27
656,MFH,1921,21
657,MFH,2008,44
658,MFH,1932,39
659,MFH,1901,58
660,MFH,1944,51
661,MFH,1927,38
662,MFH,1992,54
663,MFH,1945,32
664,MFH,1985,58
665,MFH,1995,54
666,MFH,1955,57
667,MFH,1971,20
668,MFH,2002,55
669,MFH,1936,32
670,MFH,1924,31
671,MFH,1947,35
672,MFH,2013,35
673,MFH,1911,48
674,MFH,2013,47
675,MFH,1964,52
676,MFH,1914,29
677,MFH,1930,41
678,MFH,2005,10
679,MFH,1911,56
680,MFH,1965,28
681,MFH,1927,50
682,MFH,1979,37
683,MFH,2010,50
684,MFH,1937,28
685,MFH,1959,24
686,MFH,2011,19
687,MFH,1993,45
688,MFH,1963,49
689,MFH,1939,37
690,MFH,1933,46
691,MFH,1957,28
692,MFH,1944,21
693,MFH,1921,24
694,MFH,1927,29
695,MFH,1933,29
696,MFH,1971,26
697,MFH,1967,47
698,MFH,1972,42
699,MFH,2010,21
700,MFH,1908,32
701,MFH,1941,55
702,MFH,1909,31
703,MFH,1930,42
704,MFH,2017,19
705,MFH,1920,16
706,MFH,1984,40
707,MFH,2016,25
708,MFH,1981,34
709,MFH,2015,34
710,MFH,2005,19
711,MFH,1984,42
712,MFH,1938,20
713,MFH,1987,57
714,MFH,1951,34
715,MFH,1930,37
716,MFH,1915,14
717,MFH,1955,10
718,MFH,1962,50
719,MFH,1994,56
720,MFH,1938,24
721,MFH,1986,32
722,MFH,2009,35
723,MFH,1975,40
724,MFH,2005,29
725,MFH,1971,58
726,MFH,2009,43
727,MFH,1926,38
728,MFH,1982,39
729,MFH,1962,51
730,MFH,1911,38
731,MFH,1975,31
732,MFH,2011,17
733,MFH,1963,18
734,MFH,1998,14
735,MFH,2003,41
736,MFH,1917,45
737,MFH,1945,44
738,MFH,1955,33
739,MFH,1960,57
740,MFH,1987,31
741,MFH,1948,49
742,MFH,1995,25
743,MFH,1986,34
744,MFH,1948,10
745,MFH,2011,34
746,MFH,1913,59
747,MFH,1957,37
748,MFH,1969,51
749,MFH,2017,20
750,MFH,1996,51
751,MFH,1991,31
752,MFH,2010,24
753,MFH,2001,58
754,MFH,1934,58
755,MFH,2004,34
756,MFH,1908,14
757,MFH,1920,57
758,MFH,1957,41
759,MFH,1990,50
760,MFH,1920,12
761,MFH,1900,31
762,MFH,2005,29
763,MFH,2007,39
764,MFH,1962,52
765,MFH,1988,14
766,MFH,1989,13
767,MFH,1963,54
768,MFH,2018,58
769,MFH,1998,48
770,MFH,1942,35
771,MFH,1949,38
772,MFH,2014,57
773,MFH,1939,56
774,MFH,1966,49
775,MFH,1975,27
776,MFH,1974,11
777,MFH,1989,44
778,MFH,1921,12
779,MFH,2013,35
780,MFH,1990,10
781,MFH,2018,12
782,MFH,1903,10
783,MFH,1994,41
784,MFH,1980,32
785,MFH,1943,28
786,MFH,1989,47
787,MFH,1932,30
788,MFH,2005,31
789,MFH,1974,47
790,MFH,1946,28
791,MFH,1941,38
792,MFH,1929,53
793,MFH,1929,33
794,MFH,1938,41
795,MFH,2011,40
796,MFH,1969,30
797,MFH,1966,30
798,MFH,1915,10
799,MFH,1967,37
800,MFH,1981,27
801,MFH,1998,13
802,MFH,1953,47
803,MFH,1988,18
804,MFH,1917,53
805,MFH,1943,55
806,MFH,1938,25
807,MFH,1977,32
808,MFH,1994,42
809,MFH,2011,12
810,MFH,1971,51
811,MFH,1947,53
812,MFH,1997,54
813,MFH,1921,12
814,MFH,1999,12
815,MFH,1996,57
816,MFH,1942,13
817,MFH,1959,42
818,MFH,1918,33
819,MFH,1932,57
820,MFH,1907,17
821,MFH,1972,30
822,MFH,1985,42
823,MFH,1905,22
824,MFH,1925,16
825,MFH,1902,33
826,MFH,1955,11
827,MFH,1922,11
828,MFH,1929,15
829,MFH,1932,20
830,MFH,1982,21
831,MFH,1917,34
832,MFH,1956,42
833,MFH,1967,33
834,MFH,1900,59
835,MFH,1928,50
836,MFH,1952,12
837,MFH,1961,51
838,MFH,1982,27
839,MFH,1938,52
840,MFH,1954,35
841,MFH,1929,32
842,MFH,1990,56
843,MFH,1988,24
844,MFH,1905,48
845,MFH,1904,14
846,MFH,1901,34
847,MFH,1970,35
848,MFH,1964,52
849,MFH,1952,39
850,MFH,1906,44
851,MFH,2011,31
852,MFH,1968,45
853,MFH,2015,13
854,MFH,1981,15
855,MFH,1938,27
856,MFH,1974,48
857,MFH,1964,41
858,MFH,1997,28
859,MFH,1951,31
860,MFH,2000,22
861,MFH,1979,17
862,MFH,1972,46
863,MFH,1920,36
864,MFH,1903,24
865,MFH,1950,10
866,MFH,1928,55
867,MFH,1978,37
868,MFH,1971,27
869,MFH,1902,15
870,MFH,1963,59
871,MFH,1912,24
872,MFH,1950,19
873,MFH,1983,16
874,MFH,1976,39
875,MFH,1965,46
876,MFH,1951,16
877,MFH,1917,36
878,MFH,1917,28
879,MFH,2018,57
880,MFH,1916,30
881,MFH,1952,29
882,MFH,1974,54
883,MFH,1900,32
884,MFH,1995,55
885,MFH,1939,34
886,MFH,1938,22
887,MFH,1907,13
888,MFH,1955,15
889,MFH,2003,19
890,MFH,1900,58
891,MFH,1901,38
892,MFH,1911,34
893,MFH,1913,18
894,MFH,1900,12
895,MFH,1910,39
896,MFH,1951,11
897,MFH,2019,56
898,MFH,1928,42
899,MFH,2002,15
900,MFH,1955,27
901,MFH,1936,29
902,MFH,1975,27
903,MFH,1952,35
904,MFH,1923,45
905,MFH,1961,58
906,MFH,1983,16
907,MFH,2001,20
908,MFH,1965,39
909,MFH,2007,21
910,MFH,1940,43
911,MFH,1968,46
912,MFH,2008,46
913,MFH,2004,10
914,MFH,1906,42
915,MFH,1997,27
916,MFH,2003,35
917,MFH,1932,47
918,MFH,1988,26
919,MFH,1944,45
920,MFH,1986,49
921,MFH,1926,56
922,MFH,1913,16
923,MFH,2008,34
924,MFH,1939,44
925,MFH,2018,27
926,MFH,1983,24
927,MFH,2014,33
928,MFH,1994,56
929,MFH,1983,22
930,MFH,1963,31
931,MFH,2001,15
932,MFH,1929,42
933,MFH,2009,42
934,MFH,1991,42
935,MFH,1924,45
936,MFH,1910,19
937,MFH,1932,47
938,MFH,1908,21
939,MFH,1917,14
940,MFH,1999,10
941,MFH,1971,17
942,MFH,1955,29
943,MFH,1907,23
944,MFH,1949,22
945,MFH,1959,54
946,MFH,1968,23
947,MFH,1983,40
948,MFH,1918,27
949,MFH,1901,56
950,MFH,1939,32
951,MFH,1911,34
952,MFH,2017,50
953,MFH,1978,43
954,MFH,1965,20
955,MFH,1991,56
956,MFH,1977,29
957,MFH,1981,15
958,MFH,1984,39
959,MFH,1962,31
960,MFH,1980,26
961,MFH,1922,57
962,MFH,1954,51
963,MFH,1984,24
964,MFH,1904,13
965,MFH,2008,25
966,MFH,1951,51
967,MFH,1939,33
968,MFH,2007,11
969,MFH,1962,36
970,MFH,1963,51
971,MFH,1969,11
972,MFH,1950,38
973,MFH,1917,29
974,MFH,1992,36
975,MFH,1903,55
976,MFH,1930,34
977,MFH,2008,35
978,MFH,1988,37
979,MFH,2005,11
980,MFH,1967,10
981,MFH,1951,20
982,MFH,1960,55
983,MFH,1985,54
984,MFH,1949,22
985,MFH,1951,43
986,MFH,1996,26
987,MFH,1923,46
988,MFH,1996,19
989,MFH,1946,31
990,MFH,1955,29
991,MFH,2002,18
992,MFH,2008,11
993,MFH,2008,13
994,MFH,1985,13
995,MFH,1908,55
996,MFH,1930,27
997,MFH,1948,59
998,MFH,1900,43
999,MFH,2019,34
1000,MFH,1989,27
1001,MFH,1937,13
1002,MFH,2006,32
1003,MFH,1917,16
1004,MFH,2019,54
1005,MFH,1991,49
1006,MFH,1983,24
1007,MFH,1911,23
1008,MFH,1940,58
1009,MFH,1984,34
1010,MFH,1949,12
1011,MFH,1946,41
1012,MFH,1930,52
1013,MFH,2015,56
1014,MFH,1904,26
1015,MFH,1906,31
1016,MFH,1967,39
1017,MFH,1952,22
1018,MFH,1989,42
1019,MFH,1937,20
1020,MFH,1917,12
1021,MFH,1939,43
1022,MFH,1946,32
1023,MFH,2014,14
1024,MFH,1986,33
1025,MFH,1950,54
1026,MFH,1982,39
1027,MFH,1921,34
1028,MFH,1957,32
1029,MFH,1931,50
1030,MFH,1928,42
1031,MFH,1935,49
1032,MFH,1973,21
1033,MFH,1974,20
1034,MFH,1912,21
1035,MFH,1939,13
1036,MFH,2009,22
1037,MFH,1946,58
1038,MFH,1979,59
1039,MFH,1994,53
1040,MFH,1920,52
1041,MFH,1948,30
1042,MFH,2019,50
1043,MFH,1991,28
1044,MFH,1941,44
1045,MFH,1962,46
1046,MFH,1952,33
1047,MFH,2005,43
1048,MFH,1999,43
1049,MFH,1904,36
1050,MFH,1943,56
1051,MFH,2010,22
1052,MFH,1945,26
1053,MFH,1947,34
1054,MFH,1999,40
1055,MFH,2000,24
1056,MFH,1961,11
1057,MFH,1963,37
1058,MFH,1934,16
1059,MFH,1996,12
1060,MFH,1907,35
1061,MFH,2014,34
1062,MFH,2015,36
1063,MFH,1914,56
1064,MFH,1956,26
1065,MFH,1930,24
1066,MFH,1913,15
1067,MFH,1991,47
1068,MFH,1934,16
1069,MFH,1970,41
1070,MFH,1964,51
1071,MFH,2018,22
1072,MFH,1954,29
1073,MFH,2002,52
1074,MFH,1993,23
1075,MFH,1900,20
1076,MFH,1988,25
1077,MFH,1971,29
1078,MFH,2017,15
1079,MFH,2004,47
1080,MFH,1914,12
1081,MFH,1987,10
1082,MFH,2004,53
1083,MFH,1997,59
1084,MFH,1948,48
1085,MFH,1939,30
1086,MFH,1976,42
1087,MFH,2009,50
1088,MFH,1960,58
1089,MFH,1981,27
1090,MFH,2005,36
1091,MFH,1900,51
1092,MFH,1947,27
1093,MFH,1942,33
1094,MFH,1914,33
1095,MFH,1922,11
1096,MFH,2006,20
1097,MFH,1914,58
1098,MFH,1904,10
1099,MFH,1927,31
1100,MFH,1990,20
1101,MFH,1918,45
1102,MFH,1969,33
1103,MFH,1974,57
1104,MFH,1962,54
1105,MFH,1953,15
1106,MFH,1982,15
1107,MFH,1925,45
1108,MFH,1967,48
1109,MFH,1990,45
1110,MFH,1973,16
1111,MFH,1958,56
1112,MFH,1977,30
1113,MFH,1922,43
1114,MFH,1980,24
1115,MFH,1936,14
1116,MFH,1925,56
1117,MFH,1936,52
1118,MFH,1916,48
1119,MFH,1937,11
1120,MFH,1928,15
1121,MFH,1986,33
1122,MFH,1991,24
1123,MFH,2014,41
1124,MFH,1947,30
1125,MFH,1945,54
1126,MFH,1994,59
1127,MFH,1949,11
1128,MFH,1965,35
1129,MFH,1943,32
1130,MFH,1944,37
1131,MFH,2014,38
1132,MFH,1998,32
1133,MFH,2015,28
1134,MFH,1998,49
1135,MFH,2018,54
1136,MFH,1914,42
1137,MFH,2008,16
1138,MFH,2018,48
1139,MFH,2019,57
1140,MFH,1902,37
1141,MFH,1969,49
1142,MFH,1946,42
1143,MFH,1903,51
1144,MFH,1977,28
1145,MFH,1935,13
1146,MFH,1928,55
1147,MFH,1972,37
1148,MFH,2000,34
1149,MFH,1925,28
1150,MFH,1952,12
1151,MFH,1931,45
1152,MFH,1917,32
1153,MFH,2016,49
1154,MFH,2013,41
1155,MFH,1910,24
1156,MFH,2018,39
1157,MFH,2018,39
1158,MFH,1914,50
1159,MFH,1968,15
1160,MFH,1967,59
1161,MFH,1991,26
1162,MFH,1954,41
1163,MFH,1988,12
1164,MFH,1958,17
1165,MFH,1995,11
1166,MFH,1930,31
1167,MFH,1919,11
1168,MFH,1953,34
1169,MFH,1963,19
1170,MFH,1987,16
1171,MFH,1953,24
1172,MFH,1977,53
1173,MFH,2016,50
1174,MFH,1938,14
1175,MFH,1997,45
1176,MFH,2007,47
1177,MFH,1967,15
1178,MFH,1999,38
1179,MFH,1958,10
1180,MFH,1918,38
1181,MFH,1934,24
1182,MFH,1928,39
1183,MFH,1976,44
1184,MFH,1983,17
1185,MFH,1972,18
1186,MFH,2009,38
1187,MFH,1937,25
1188,MFH,1960,54
1189,MFH,2008,18
1190,MFH,1913,40
1191,MFH,1972,19
1192,MFH,2006,19
1193,MFH,1941,40
1194,MFH,1986,40
1195,MFH,1993,27
1196,MFH,1935,19
1197,MFH,2018,54
1198,MFH,1995,43
1199,MFH,1966,35
1200,MFH,1915,23
1201,MFH,2001,15
1202,MFH,1903,40
1203,MFH,1948,43
1204,MFH,1985,29
1205,MFH,1979,39
1206,MFH,1994,17
1207,MFH,1997,56
1208,MFH,1991,43
1209,MFH,1913,45
1210,MFH,1957,29
1211,MFH,2013,33
1212,MFH,1978,13
1213,MFH,1928,32
1214,MFH,1908,10
1215,MFH,1909,15
1216,MFH,2007,44
1217,MFH,2009,34
1218,MFH,2003,16
1219,MFH,1994,55
1220,MFH,2008,19
1221,MFH,2003,16
1222,MFH,2017,26
1223,MFH,1929,58
1224,MFH,1905,50
1225,MFH,2016,19
1226,MFH,1953,41
1227,MFH,1935,49
1228,MFH,1950,42
1229,MFH,1936,20
1230,MFH,2016,17
1231,MFH,2019,10
1232,MFH,1938,31
1233,MFH,1910,44
1234,MFH,1955,35
1235,MFH,1986,34
1236,MFH,1925,12
1237,MFH,2008,28
1238,MFH,1906,20
1239,MFH,1966,29
1240,MFH,1936,35
1241,MFH,1974,58
1242,MFH,1923,32
1243,MFH,2002,39
1244,MFH,1939,46
